Data da Compra,Loja,UF,Categoria,Tamanho,Cor,Preço Unitário,Quantidade,Valor Total,Estação,Cidade,Tipo de Lead
2022-09-12,Loja_39,PE,Calça Jeans,GG,Azul,79.61,35,2786.35,Inverno,Olinda,Inbound
2023-11-17,Loja_50,PR,Macacão,M,Verde,61.72,89,5493.08,Inverno,Londrina,Inbound
2022-07-16,Loja_37,DF,Calça Jeans,M,Azul,75.49,41,3095.09,Outono,Brasília,Inbound
2023-09-28,Loja_33,PR,Blusa,P,Branco,80.06,76,6084.56,Inverno,Maringá,Inbound
2022-11-14,Loja_34,RS,Saia,PP,Rosa,131.05,87,11401.35,Inverno,Pelotas,Outbound
2022-02-16,Loja_16,PE,Camiseta,G,Verde,228.84,12,2746.08,Primavera,Olinda,Inbound
2023-04-14,Loja_23,RS,Jaqueta,M,Verde,144.65,23,3326.95,Verão,Porto Alegre,Inbound
2023-03-22,Loja_20,RJ,Jaqueta,P,Vermelho,227.99,8,1823.92,Verão,Niterói,Outbound
2022-10-17,Loja_36,RJ,Saia,GG,Verde,92.31,52,4800.12,Inverno,Niterói,Inbound
2022-04-23,Loja_9,SP,Blusa,P,Vermelho,108.96,52,5665.92,Verão,Santos,Outbound
2022-10-15,Loja_50,PR,Saia,P,Azul,267.16,16,4274.56,Inverno,Maringá,Outbound
2022-11-24,Loja_32,RJ,Saia,PP,Vermelho,180.78,79,14281.62,Inverno,Petrópolis,Inbound
2023-10-07,Loja_32,RS,Calça Jeans,PP,Rosa,46.73,52,2429.96,Inverno,Porto Alegre,Inbound
2023-05-20,Loja_38,RS,Saia,GG,Cinza,293.51,31,9098.81,Verão,Porto Alegre,Inbound
2023-11-26,Loja_7,SP,Calça Jeans,M,Rosa,263.68,85,22412.8,Inverno,Campinas,Outbound
2023-09-02,Loja_15,PR,Camiseta,GG,Rosa,178.3,20,3566.0,Inverno,Londrina,Inbound
2022-03-13,Loja_38,BA,Short,PP,Rosa,151.13,76,11485.88,Verão,Salvador,Inbound
2022-05-21,Loja_35,SC,Jaqueta,P,Branco,77.69,7,543.83,Verão,Blumenau,Inbound
2022-06-30,Loja_41,GO,Calça Jeans,G,Verde,103.3,42,4338.6,Outono,Aparecida de Goiânia,Outbound
2022-10-01,Loja_31,PR,Camiseta,M,Cinza,250.47,60,15028.2,Inverno,Londrina,Outbound
2024-02-01,Loja_19,SC,Calça Jeans,GG,Azul,190.39,38,7234.82,Primavera,Joinville,Outbound
2024-01-13,Loja_19,PE,Calça Jeans,G,Cinza,166.8,90,15012.0,Primavera,Recife,Inbound
2022-06-08,Loja_2,PR,Camiseta,GG,Verde,198.34,41,8131.94,Outono,Maringá,Outbound
2024-03-28,Loja_46,PE,Blusa,M,Vermelho,201.12,36,7240.32,Verão,Recife,Inbound
2022-03-12,Loja_47,DF,Saia,GG,Rosa,57.34,61,3497.74,Verão,Brasília,Inbound
2022-04-26,Loja_28,BA,Short,P,Amarelo,168.2,7,1177.4,Verão,Vitória da Conquista,Outbound
2023-08-16,Loja_32,MG,Calça Jeans,M,Verde,282.05,7,1974.35,Outono,Belo Horizonte,Inbound
2023-05-29,Loja_41,DF,Blusa,GG,Amarelo,124.44,41,5102.04,Verão,Brasília,Inbound
2023-02-23,Loja_34,MG,Jaqueta,GG,Azul,184.98,28,5179.44,Primavera,Belo Horizonte,Outbound
2023-07-04,Loja_49,DF,Short,G,Verde,127.78,60,7666.8,Outono,Brasília,Outbound
2023-12-23,Loja_10,GO,Vestido,M,Cinza,240.55,28,6735.4,Primavera,Anápolis,Inbound
2022-06-29,Loja_18,PE,Camiseta,GG,Rosa,151.41,99,14989.59,Outono,Recife,Outbound
2023-06-17,Loja_11,SP,Vestido,M,Branco,169.51,40,6780.4,Outono,Santos,Outbound
2022-10-12,Loja_26,GO,Saia,PP,Cinza,194.04,76,14747.04,Inverno,Aparecida de Goiânia,Outbound
2023-02-20,Loja_11,BA,Vestido,M,Verde,182.88,3,548.64,Primavera,Salvador,Inbound
2023-07-08,Loja_39,DF,Macacão,M,Azul,198.8,31,6162.8,Outono,Brasília,Inbound
2022-11-04,Loja_26,DF,Camiseta,PP,Cinza,112.62,70,7883.4,Inverno,Brasília,Inbound
2024-03-16,Loja_50,SP,Short,P,Preto,276.15,21,5799.15,Verão,Santos,Outbound
2022-05-04,Loja_36,GO,Vestido,GG,Amarelo,37.94,42,1593.48,Verão,Aparecida de Goiânia,Inbound
2022-09-09,Loja_1,PR,Macacão,P,Cinza,244.58,69,16876.02,Inverno,Londrina,Inbound
2022-02-25,Loja_7,RS,Blusa,M,Verde,244.8,36,8812.8,Primavera,Pelotas,Outbound
2022-08-14,Loja_40,PR,Blusa,GG,Rosa,154.23,68,10487.64,Outono,Londrina,Inbound
2023-11-07,Loja_13,SP,Vestido,PP,Verde,275.61,11,3031.71,Inverno,Santos,Outbound
2023-12-25,Loja_23,RS,Macacão,PP,Rosa,263.88,5,1319.4,Primavera,Pelotas,Inbound
2023-12-15,Loja_8,SP,Blusa,GG,Azul,178.32,58,10342.56,Primavera,Campinas,Outbound
2023-03-14,Loja_38,SP,Saia,GG,Cinza,177.82,75,13336.5,Verão,São Paulo,Outbound
2022-11-28,Loja_35,SP,Camiseta,G,Amarelo,143.19,93,13316.67,Inverno,Santos,Inbound
2022-03-16,Loja_10,PE,Camiseta,GG,Verde,287.05,72,20667.6,Verão,Olinda,Outbound
2023-11-19,Loja_32,GO,Camiseta,M,Amarelo,181.2,50,9060.0,Inverno,Anápolis,Inbound
2023-05-03,Loja_13,DF,Calça Jeans,GG,Amarelo,146.49,78,11426.22,Verão,Brasília,Outbound
2024-03-27,Loja_34,SC,Macacão,G,Cinza,279.85,19,5317.15,Verão,Joinville,Inbound
2023-06-15,Loja_2,MG,Vestido,GG,Preto,230.03,82,18862.46,Outono,Belo Horizonte,Outbound
2022-12-25,Loja_24,BA,Short,G,Preto,145.23,77,11182.71,Primavera,Feira de Santana,Outbound
2022-06-09,Loja_38,PR,Jaqueta,P,Verde,292.43,6,1754.58,Outono,Londrina,Inbound
2023-07-17,Loja_6,PR,Blusa,M,Preto,271.05,84,22768.2,Outono,Londrina,Inbound
2022-10-07,Loja_41,PE,Camiseta,M,Amarelo,120.48,72,8674.56,Inverno,Recife,Outbound
2023-12-02,Loja_30,RJ,Macacão,M,Amarelo,232.23,79,18346.17,Primavera,Rio de Janeiro,Outbound
2022-03-29,Loja_23,MG,Short,PP,Branco,138.16,91,12572.56,Verão,Uberlândia,Outbound
